"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.03.2023","1.059,20","1.062,00","1.066,60","1.054,40","918,83K","-0,24%"
"13.03.2023","1.061,80","1.066,80","1.072,80","1.047,60","935,85K","-0,21%"
"10.03.2023","1.064,00","1.070,20","1.084,20","1.058,20","1,47M","-0,88%"
"09.03.2023","1.073,40","1.074,60","1.079,00","1.067,20","631,98K","-0,09%"
"07.03.2023","1.074,40","1.077,00","1.080,00","1.064,80","645,04K","-0,24%"
"06.03.2023","1.077,00","1.080,00","1.082,40","1.072,00","809,73K","0,45%"
"03.03.2023","1.072,20","1.056,80","1.078,00","1.056,60","979,94K","1,48%"
"02.03.2023","1.056,60","1.072,40","1.075,00","1.048,40","1,45M","-1,57%"
"01.03.2023","1.073,40","1.067,20","1.074,80","1.060,00","925,01K","0,79%"
"28.02.2023","1.065,00","1.069,60","1.074,00","1.056,40","824,72K","-0,15%"
"27.02.2023","1.066,60","1.042,60","1.067,00","1.040,00","1,08M","2,30%"
"24.02.2023","1.042,60","1.049,00","1.049,00","1.039,20","274,59K","-0,23%"
"22.02.2023","1.045,00","1.045,40","1.050,40","1.027,60","809,76K","0,00%"
"21.02.2023","1.045,00","1.034,20","1.054,60","1.033,60","993,76K","1,14%"
"20.02.2023","1.033,20","1.032,00","1.038,40","1.015,80","776,83K","0,17%"
"17.02.2023","1.031,40","1.033,00","1.043,60","1.020,60","645,78K","0,06%"
"16.02.2023","1.030,80","1.027,20","1.041,60","1.026,60","1,01M","0,45%"
"15.02.2023","1.026,20","1.058,00","1.058,00","1.012,80","1,38M","-3,04%"
"14.02.2023","1.058,40","1.074,00","1.074,00","1.050,00","1,29M","-1,36%"
"13.02.2023","1.073,00","1.084,00","1.093,00","1.072,00","613,81K","-0,98%"
"10.02.2023","1.083,60","1.069,80","1.090,00","1.065,80","783,80K","1,08%"
"09.02.2023","1.072,00","1.077,20","1.079,40","1.061,00","919,50K","-0,19%"
"08.02.2023","1.074,00","1.089,20","1.096,80","1.059,20","1,53M","-1,38%"
"07.02.2023","1.089,00","1.103,00","1.116,40","1.076,00","2,01M","-0,82%"
"06.02.2023","1.098,00","1.032,00","1.100,00","1.030,20","3,76M","6,58%"
"03.02.2023","1.030,20","1.027,80","1.034,00","1.022,40","578,00K","0,23%"
"02.02.2023","1.027,80","1.028,80","1.034,80","1.021,20","511,16K","0,12%"
"01.02.2023","1.026,60","1.029,00","1.033,20","1.024,00","566,87K","-0,31%"
"31.01.2023","1.029,80","1.022,00","1.034,60","1.021,00","532,18K","0,72%"
"30.01.2023","1.022,40","1.024,60","1.026,00","1.019,00","457,98K","-0,02%"
"27.01.2023","1.022,60","1.020,00","1.025,80","1.012,80","601,62K","0,49%"
"26.01.2023","1.017,60","1.018,40","1.025,00","1.011,20","779,07K","-0,06%"
"25.01.2023","1.018,20","1.019,40","1.022,00","1.009,00","483,34K","-0,20%"
"24.01.2023","1.020,20","1.027,80","1.027,80","1.012,40","687,39K","-0,43%"
"23.01.2023","1.024,60","1.029,80","1.031,00","1.018,80","517,02K","-0,29%"
"20.01.2023","1.027,60","1.018,00","1.028,00","1.008,00","736,91K","1,26%"
"19.01.2023","1.014,80","1.028,80","1.033,20","1.010,40","909,02K","-1,65%"
"18.01.2023","1.031,80","1.042,00","1.042,80","1.021,20","770,53K","-0,98%"
"17.01.2023","1.042,00","1.051,00","1.051,00","1.038,40","464,92K","-0,82%"
"16.01.2023","1.050,60","1.044,00","1.054,00","1.042,20","773,48K","0,83%"
